DEVICE ;FECHA ;NOMBRE DEL CLIENTE ;NOMBRE DEL PUNTO ;TIPO DE SERVICIO
008900000170;1/10/2025;INVERSIONES Y ASESORIAS DE TRANSPORTES ANDINO S.A;EDS PETROMIL AV. CALI;MTTO CORRECTIVO
005528000570;1/10/2025;LA NACIONAL DE LICORES DE COLOMBIA SAS;FV SEDE AMERICAS;MTTO PROFUNDO
000018177270;1/10/2025;D1 S.A.S;10693 TIENDA D1 CALI EL TRONCAL;MTTO PREVENTIVO
009150350970;1/10/2025;ORGANIZACION TERPEL SA;1000 EDS VALLEMIO;MTTO CORRECTIVO
098250360470;1/10/2025;MASSER S A S;1200 PRADOS DEL NORTE;MTTO CORRECTIVO
001280002370;1/10/2025;COLVANES SAS;ACOPI YUMBO;MTTO PREVENTIVO
000018214270;1/10/2025;D1 S.A.S;10421-TIENDA D1 PALMIRA VERSALLES;MTTO PREVENTIVO
000018195970;1/10/2025;D1 S.A.S;10374-TIENDA D1 PALMIRA CENTRO;MTTO PREVENTIVO
000018196170;1/10/2025;D1 S.A.S;10428 TIENDA D1 PALMIRA CARMELOS;MTTO PREVENTIVO
000018176770;1/10/2025;D1 S.A.S;10436 TIENDA D1 PALMIRA ALAMEDA;MTTO PREVENTIVO
009178001670;1/10/2025;SUPERMERCADO LA GRAN COLOMBIA S A;GRANCOLOMBIA ZAMORANO - 805027024;MTTO PREVENTIVO
001280003970;1/10/2025;COLVANES SAS;ACOPI YUMBO 2;MTTO PREVENTIVO
000018214570;1/10/2025;D1 S.A.S;10424-TIENDA D1 PALMIRA ZAMORANO;MTTO PREVENTIVO
000018216470;1/10/2025;D1 S.A.S;11863-TIENDA D1 PALMIRA BIZERTA;MTTO PREVENTIVO
000018226670;1/10/2025;D1 S.A.S;10540-TIENDA D1 MARINILLA 3;MTTO CORRECTIVO
000018212270;1/10/2025;D1 S.A.S;12424 - LA AMERICA SAN JUAN;MTTO CORRECTIVO
098331166970;1/10/2025;BBI COLOMBIA SAS;FV 1669 VIZCAYA;MTTO CORRECTIVO
098331160770;1/10/2025;BBI COLOMBIA SAS;1607 ALMACENTRO;MTTO CORRECTIVO
098210000970;1/10/2025;HOGAR Y MODA SAS;FV HOGAR Y MODA JUNIN;MTTO CORRECTIVO
000018171270;1/10/2025;D1 S.A.S;10012 TIENDA D1 BODEGA LA 80 X 30;MTTO CORRECTIVO
005484092870;2/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q87 ISIMO SANTA ANA;MTTO PREVENTIVO
005484091870;2/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q85 ISIMO CEVILLAR;MTTO CORECTIVO
009770098870;2/10/2025;JERONIMO MARTINS COLOMBIA SAS;988 BARRANQUILLA LAS CAYENAS;MTTO CORECTIVO
004028010070;2/10/2025;SUPERTIENDAS Y DROGUERIAS OLIMPICA;FV OLIMPICA STO 100;MTTO PREVENTIVO
009553002970;2/10/2025;COLOMBIANA DE COMERCIO S A;FV KTRONIX BARRANQUILLA;MTTO PREVENTIVO
005484091570;2/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q84 MURILLO LAS MORAS;MTTO CORECTIVO
000018015070;2/10/2025;D1 S.A.S;12096 BOG PLAZA QUIRIGUA;MTTO PREVENTIVO
005484006170;2/10/2025;PLAN B INVESTMENTS S.A.S.;FV S55 QUIRIGUA;MTTO PREVENTIVO
005484099470;2/10/2025;PLAN B INVESTMENTS S.A.S.;FV SC7 ISIMO LUJAN;MTTO PREVENTIVO
098103040570;2/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;50JDK-MERCADO LAS FERIAS;MTTO PREVENTIVO
098286001970;2/10/2025;MERCADO ZAPATOCA SA;PONTEVEDRA;MTTO PREVENTIVO
000018171570;2/10/2025;D1 S.A.S;10711 BOG CASTILLA;MTTO PREVENTIVO
000018217670;2/10/2025;D1 S.A.S;10900-TIENDA D1 MARSELLA ANTIGUA;MTTO PREVENTIVO
009150309470;2/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS  MARIANA;MTTO CORECTIVO
098286000570;2/10/2025;MERCADO ZAPATOCA SA;SENDEROS  DE CASTILLA;MTTO PREVENTIVO
005528000470;2/10/2025;LA NACIONAL DE LICORES DE COLOMBIA SAS;FV LA NACIONAL DE LICORES CRA 24;MTTO PROFUNDO 
002377330170;2/10/2025;COLSUBSIDIO;UNID. SERV. CALLE 63;MTTO PREVENTIVO
002377325370;2/10/2025;COLSUBSIDIO;CTRO EMPRESARIAL CLL 53;MTTO PREVENTIVO
002377217970;2/10/2025;COLSUBSIDIO;NODO CHAPINERO;MTTO PREVENTIVO
000018142270;2/10/2025;D1 S.A.S;10804 TIENDA D1 CHICALA;MTTO PREVENTIVO
005484097270;2/10/2025;PLAN B INVESTMENTS S.A.S.;FV SC1 ISIMO DINDALITO;MTTO PREVENTIVO
009890002470;2/10/2025;POLLOS EL BUCANERO S.A;CEDI PALOQUEMAO;MTTO PREVENTIVO
001763003271;2/10/2025;COLOMBIANA DE COMERCIO S A;ALKOSTO CALI;MTTO PREVENTIVO
001763003270;2/10/2025;COLOMBIANA DE COMERCIO S A;ALKOSTO CALI 2;MTTO PREVENTIVO
009150301870;2/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS LIMONAR;MTTO PREVENTIVO
000018216270;2/10/2025;D1 S.A.S;11658 CALI CALLE 112;MTTO PREVENTIVO
000018165970;2/10/2025;D1 S.A.S;10441 TIENDA D1 CALI MANUELA BELTRAN;MTTO PREVENTIVO
000018176470;2/10/2025;D1 S.A.S;10429 TIENDA D1 CALI VILLA DEL PRADO;MTTO CORECTIVO
098250360470;2/10/2025;MASSER S A S;1200 PRADOS DEL NORTE;MTTO CORECTIVO
000018162070;2/10/2025;D1 S.A.S;11401 TIENDA D1 CALI SILOE;MTTO PREVENTIVO
098103049370;2/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;50FSB-PASARELA 3;MTTO CORECTIVO
005484095870;2/10/2025;PLAN B INVESTMENTS S.A.S.;FV I67 ISIMO RIACHUELOS;MTTO PREVENTIVO
#N/D;2/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;MEDELLIN GRAN VIA;MTTO CORECTIVO
001763004570;2/10/2025;COLOMBIANA DE COMERCIO S A;FV K-TRONIX MEDELLIN;MTTO PREVENTIVO
098331167370;2/10/2025;BBI COLOMBIA SAS;FV 1673 SANTAFÉ BALSOS;MTTO CORECTIVO
100458001070;2/10/2025;PRICESMART COLOMBIA SAS;XC3479 CLUB EL POBLADO;MTTO PREVENTIVO
098331166770;2/10/2025;BBI COLOMBIA SAS;FV 1667 VEGAS PLAZA LOCAL 115;MTTO CORECTIVO
000018223270;3/10/2025;D1 S.A.S;11221 BQLLA VILLA ANGELITA;MTTO CORRECTIVO
005484038670;3/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q51 BARRANQUILLA LA PRADERA;MTTO CORRECTIVO
005484034870;3/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q09 BARRANQUILLA MURILLO CARRERA 33;MTTO PREVENTIVO
009889002570;3/10/2025;MADECENTRO COLOMBIA S.A.S;FV BARRANQUILLA LA SIERRA;MTTO PREVENTIVO
001076000170;3/10/2025;FONRECOOTRANSORIENTE;FONRECOOTRANSORIENTE;MTTO CORRECTIVO
009553001670;3/10/2025;COLOMBIANA DE COMERCIO S A;FV KTRONIX UNICENTRO;MTTO PREVENTIVO
009150319070;3/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS PLAZA 127 FR;MTTO PREVENTIVO
002377141870;3/10/2025;COLSUBSIDIO;DROG. CC SANTAFE - BOGOTA;MTTO PREVENTIVO
004608008370;3/10/2025;DISTRACOM S A;EDS QUITO 2000;MTTO PREVENTIVO
005484090270;3/10/2025;PLAN B INVESTMENTS S.A.S.;FV SA6  ISIMO VARIANTE CELTA;MTTO PREVENTIVO
005317000370;3/10/2025;EMTRA;CR15;MTTO PREVENTIVO
005528000870;3/10/2025;LA NACIONAL DE LICORES DE COLOMBIA SAS;FV MOSQUERA;MTTO PREVENTIVO
009553000770;3/10/2025;COLOMBIANA DE COMERCIO S A;FV K-TRONIX CENTRO MAYOR;MTTO PREVENTIVO
005484007670;3/10/2025;PLAN B INVESTMENTS S.A.S.;FV CE071 NUEVO MUZU;MTTO PREVENTIVO
009150300970;3/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS MATATIGRES FR;MTTO PREVENTIVO
004586015770;3/10/2025;ARCOS DORADOS COLOMBIA SAS;CMY- MAC DONALD - CENTRO MAYOR;MTTO PREVENTIVO
009150319570;3/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS LA CONEJERA FR;MTTO CORRECTIVO
009650001870;3/10/2025;CAJA DE COMPENSACION FAMILIAR - COMPENSAR;CALLE 134;MTTO PREVENTIVO
005317000270;3/10/2025;EMTRA;CACIQUE;MTTO PREVENTIVO
005484097370;3/10/2025;PLAN B INVESTMENTS S.A.S.;FV SC2 ISIMO VILLA SUAITA;MTTO PREVENTIVO
000018176370;3/10/2025;D1 S.A.S;11697 TIENDA D1 CALI REMANSOS DE COMFANDI;MTTO PREVENTIVO
000018175270;3/10/2025;D1 S.A.S;11659 TIENDA D1 CALI COMUNEROS 1;MTTO PREVENTIVO
000018177170;3/10/2025;D1 S.A.S;11378 TIENDA D1 CALI ANTONIO NARIÑO;MTTO PREVENTIVO
009770095870;3/10/2025;JERONIMO MARTINS COLOMBIA SAS;958 ANTONIO NARINO;MTTO PREVENTIVO
000018214670;3/10/2025;D1 S.A.S;10431-TIENDA D1 ROZO;MTTO PREVENTIVO
009150337970;3/10/2025;ORGANIZACION TERPEL SA;1000  EDS SAN ANTONIO FR;MTTO PREVENTIVO
005474000370;3/10/2025;DISTRIBUIDORA DE CARNES ET LOS MONOS SAS;FV VILLA CAIMITOS;MTTO PREVENTIVO
002382000470;3/10/2025;LASA SOCIEDAD DE APOYO AERONAUTICO SA;FV AERPTO INTER ALFONSO BONILLA ARAGON;MTTO PREVENTIVO
000018215370;3/10/2025;D1 S.A.S;10748-TIENDA D1 PALMIRA SANTA BARBARA;MTTO PREVENTIVO
009150306170;3/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS PALMIRA;MTTO PREVENTIVO
098250001670;3/10/2025;MASSER S A S;1000 LIQ PALMIRANA;MTTO PREVENTIVO
004608003470;3/10/2025;DISTRACOM S A;E/S AVENIDA COLOMBIA;MTTO PROFUNDO
004608029770;3/10/2025;DISTRACOM S A;EDS TEXACO EXPOSICIONES;MTTO CORRECTIVO
009150335770;3/10/2025;ORGANIZACION TERPEL SA;1200  GNV  EDS VILLANUEVA FR GAS FR;MTTO PROFUNDO
009150339570;3/10/2025;ORGANIZACION TERPEL SA;1000 EDS NORTE;MTTO PROFUNDO
098103068570;3/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;507O9-LA PLAYA;MTTO CORRECTIVO
000018208670;3/10/2025;D1 S.A.S;10059-D1 SAN FRANCISCO;MTTO CORRECTIVO
000018166070;3/10/2025;D1 S.A.S;10006 TIENDA D1 BODEGA ITAGUI PARQUE;MTTO PROFUNDO
000300623070;3/10/2025;ALMACENES EXITO S A;6230 EDS CEDI LAS VEGAS;MTTO CORRECTIVO
009890001670;3/10/2025;POLLOS EL BUCANERO S.A;AGENCIA SABANETA;MTTO PREVENTIVO
002396000170;3/10/2025;CLINICA DE OFTALMOLOGIA SAN DIEGO S.A.;FV CLINICA OFTALM DE SN DIEGO;MTTO CORRECTIVO
002318001170;3/10/2025;ZEUSS PETROLEUM SAS;FV ESTINSA ZEUSS DOÑA MARIA;MTTO PREVENTIVO
009770102070;4/10/2025;JERONIMO MARTINS COLOMBIA SAS;1020 SOLEDAD LOS MANGOS;MTTO PREVENTIVO
009890002370;4/10/2025;POLLOS EL BUCANERO S.A;BUCANERO MALAMBO;MTTO PREVENTIVO
002377139070;4/10/2025;COLSUBSIDIO;Drog. Calle 72;MTTO PREVENTIVO
000018179770;4/10/2025;D1 S.A.S;11014 - BOG POLITECNICO;MTTO PREVENTIVO
005528000870;4/10/2025;LA NACIONAL DE LICORES DE COLOMBIA SAS;FV MOSQUERA;MTTO CORRECTIVO 
009150317570;4/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS LA 50 FR;MTTO CORRECTIVO 
098250001270;4/10/2025;MASSER S A S;1000 LIQ LA CASONA;MTTO PREVENTIVO
098103049270;4/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;50Y57-AVENIDA COLOMBIA;MTTO CORRECTIVO 
000018164070;4/10/2025;D1 S.A.S;10438 TIENDA D1 CANDELARIA VILLAGORGONA;MTTO CORRECTIVO 
005603000170;4/10/2025;DISTRIBUIDORA O&V HERMANOS ASOCIADOS Y CIA S.A.S;FV EDS TEXACO SAN MARCOS;MTTO CORRECTIVO 
000018163670;4/10/2025;D1 S.A.S;10682 TIENDA D1 PARQUE JUANES;MTTO PROFUNDO
005484029170;4/10/2025;PLAN B INVESTMENTS S.A.S.;FV I31 MEDELLIN CASTILLA;MTTO PREVENTIVO
098234000170;4/10/2025;ESTACION DE SERVICIO UNIVERSIDAD SAS;FV ESTACION TEXACO UNIVERSIDAD;MTTO PROFUNDO
005484032370;4/10/2025;PLAN B INVESTMENTS S.A.S.;FV I40 MED GUAYABAL PARQUE DE LAS CHIMENEA;MTTO PREVENTIVO
098331161070;4/10/2025;BBI COLOMBIA SAS;FV 1610 CENTRO COMERCIAL SANTA FE;MTTO CORRECTIVO 
098250349570;4/10/2025;MASSER S A S;1000 LIQ EDS LA MARIA;MTTO CORRECTIVO 
009550001970;4/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR MAYORCA;MTTO PREVENTIVO
005484079870;4/10/2025;PLAN B INVESTMENTS S.A.S.;FV I47 LA ESTRELLA ANCON;MTTO PREVENTIVO
009770137470;4/10/2025;JERONIMO MARTINS COLOMBIA SAS;1374 TORRE CANELO CR 48 (LOS NARANJOS);MTTO PREVENTIVO
001763004370;6/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO BARRANQUILLA;MTTO PREVENTIVO
005484036470;6/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q42 BARRANQUILLA CENTRO;MTTO CORRECTIVO
010046001570;6/10/2025;DOMIORIENTE SAS;FV DOMINOS TORCOROMA;MTTO PREVENTIVO
010046002270;6/10/2025;DOMIORIENTE SAS;FV DOMIORIENTE PARAISO;MTTO PREVENTIVO
005484040270;6/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q70 - BARRANQUIILLA LA VICTORIA;MTTO CORRECTIVO
005484087870;6/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q77 ISIMO MANANTIALES;MTTO CORRECTIVO
005484091570;6/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q84 MURILLO LAS MORAS;MTTO CORRECTIVO
000018171770;6/10/2025;D1 S.A.S;10620 TIENDAS D1 SUBA LAGOS DE SUBA;MTTO PREVENTIVO
000018162770;6/10/2025;D1 S.A.S;11482 TIENDA D1 BOG FONTANAR DEL RIO;MTTO PROFUNDO
005484088470;6/10/2025;PLAN B INVESTMENTS S.A.S.;FV SA2 ISIMO SUBA FONTANAR;MTTO PROFUNDO
009770019970;6/10/2025;JERONIMO MARTINS COLOMBIA SAS;199 COSTA AZUL;MTTO PROFUNDO
000018217870;6/10/2025;D1 S.A.S;11253-TIENDA D1 GORGONZOLA;MTTO PREVENTIVO
000018218470;6/10/2025;D1 S.A.S;12130-TIENDA D1 SAN GABRIEL;MTTO PREVENTIVO
000018015970;6/10/2025;D1 S.A.S;10608 BOG CAYETANO;MTTO PREVENTIVO
000018236270;6/10/2025;D1 S.A.S;10576 BOG PIO XII;MTTO PREVENTIVO
005484007570;6/10/2025;PLAN B INVESTMENTS S.A.S.;FV CE070 PATIO BONITO 87;MTTO PREVENTIVO
009770104070;6/10/2025;JERONIMO MARTINS COLOMBIA SAS;1040 KENNEDY - MARIA PAZ (JMV);MTTO PREVENTIVO
009770146970;6/10/2025;JERONIMO MARTINS COLOMBIA SAS;1469 KENNEDY PATIO BONITO;MTTO PREVENTIVO
009770149670;6/10/2025;JERONIMO MARTINS COLOMBIA SAS;1496 KENNEDY - LA FRAGUA;MTTO PREVENTIVO
001763000271;6/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO AVENIDA 68 _ 2;MTTO CORRECTIVO
000018172170;6/10/2025;D1 S.A.S;11796 TIENDA D1 SAN RAFAEL;MTTO PREVENTIVO
098250348870;6/10/2025;MASSER S A S;1000 EDS TERPEL SAN ANDRES;MTTO PREVENTIVO
001763000470;6/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO VENECIA;MTTO CORRECTIVO
000018177170;6/10/2025;D1 S.A.S;11378 TIENDA D1 CALI ANTONIO NARIÑO;MTTO CORRECTIVO
000018162070;6/10/2025;D1 S.A.S;11401 TIENDA D1 CALI SILOE;MTTO CORRECTIVO
004608002470;6/10/2025;DISTRACOM S A;24 EDS TERMINAL CALI;MTTO CORRECTIVO
098331185570;6/10/2025;BBI COLOMBIA SAS;FV 1855 CENTENARIO;MTTO CORRECTIVO
098250357370;6/10/2025;MASSER S A S;1200 PETROLGAS;MTTO CORRECTIVO
000018179870;6/10/2025;D1 S.A.S;11023 TIENDA D1 PARIS 2;MTTO CORRECTIVO
004608013170;6/10/2025;DISTRACOM S A;EDS LA TASAJERA;MTTO CORRECTIVO
005484084770;6/10/2025;PLAN B INVESTMENTS S.A.S.;FV I55 BELLO PARIS;MTTO PROFUNDO
098210001070;6/10/2025;HOGAR Y MODA SAS;FV HOGAR Y MODA SEDE CASTILLA;MTTO CORRECTIVO
000018250270;6/10/2025;D1 S.A.S;10049 MED SAN PABLO;MTTO CORRECTIVO
001763004570;6/10/2025;COLOMBIANA DE COMERCIO S A;FV K-TRONIX MEDELLIN;MTTO CORRECTIVO
098331176170;6/10/2025;BBI COLOMBIA SAS;FV 1761 MANILA;MTTO CORRECTIVO
098250000370;7/10/2025;MASSER S A S;1000 EDS TERPEL MONTECARMELO;MTTO CORRECTIVO
098250353870;7/10/2025;MASSER S A S;1000 UNIVERSIDADES;MTTO PREVENTIVO
098250323370;7/10/2025;MASSER S A S;1000  LIQ EDS SOLEDAD;MTTO CORRECTIVO
005484032970;7/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q41 BARRANQUILLA CRA 43 76;MTTO CORRECTIVO
001076000170;7/10/2025;FONRECOOTRANSORIENTE;FONRECOOTRANSORIENTE;MTTO CORRECTIVO
001763001571;7/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO CARRERA 30_2;MTTO PREVENTIVO
001763001570;7/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO CARRERA 30;MTTO PREVENTIVO
009150305970;7/10/2025;ORGANIZACION TERPEL SA;1000LIQ  EDS TRINIDAD;MTTO PREVENTIVO
009150202470;7/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS COLON FR;MTTO PREVENTIVO
009890001470;7/10/2025;POLLOS EL BUCANERO S.A;AGENCIA MONTEVIDEO;MTTO PREVENTIVO
000018252170;7/10/2025;D1 S.A.S;10309 CHIA VARIANTE;MTTO CORRECTIVO
009553002070;7/10/2025;COLOMBIANA DE COMERCIO S A;FV KTRONIX CHIA;MTTO CORRECTIVO
004608011770;7/10/2025;DISTRACOM S A;EDS ICAROS;MTTO PREVENTIVO
098250350170;7/10/2025;MASSER S A S;1000 EDS EL SOL;MTTO PREVENTIVO
005908000170;7/10/2025;PROYECTO E SAS;FV TIENDA LAIKA CHIA;MTTO PREVENTIVO
000018237870;7/10/2025;D1 S.A.S;10571 BOG RESTREPO CAFESAL;MTTO PREVENTIVO
005484006570;7/10/2025;PLAN B INVESTMENTS S.A.S.;FV S59 RESTREPO;MTTO PREVENTIVO
098250348870;7/10/2025;MASSER S A S;1000 EDS TERPEL SAN ANDRES;MTTO CORRECTIVO
004608012370;7/10/2025;DISTRACOM S A;DISTRACOM ZONA INDUSTRIAL;MTTO PREVENTIVO
000018176470;7/10/2025;D1 S.A.S;10429 TIENDA D1 CALI VILLA DEL PRADO;MTTO CORRECTIVO
009150317570;7/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS LA 50 FR;MTTO CORRECTIVO
001280003970;7/10/2025;COLVANES SAS;ACOPI YUMBO 2;MTTO CORRECTIVO
000018141270;7/10/2025;D1 S.A.S;10531 TIENDA D1 GUARNE 1;MTTO PROFUNDO 
000018140170;7/10/2025;D1 S.A.S;10547 TIENDA D1 GUARNE 2;MTTO PROFUNDO 
005484026570;7/10/2025;PLAN B INVESTMENTS S.A.S.;FV I15 GUARNE ESTADIO;MTTO PREVENTIVO
007031000170;7/10/2025;CENTRO TURISTICO LA PIEDRA S.A.S;FV LA PIEDRA DEL PEÑOL;MTTO CORRECTIVO
000018235770;7/10/2025;D1 S.A.S;10009-TIENDA D1 BODEGA ITAGUI SANTA MARIA;MTTO PREVENTIVO
000018234870;7/10/2025;D1 S.A.S;10019 D1 SAMARIA;MTTO PREVENTIVO
004608012470;7/10/2025;DISTRACOM S A;DISTRACOM SAN MIGUEL;MTTO PREVENTIVO
009150303170;7/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS LA RAYA;MTTO CORRECTIVO
009550006770;8/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR BARRANQUILLA UNICO;MTTO PREVENTIVO
005484036670;8/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q10 BARRANQUILLA SAN JOSE;MTTO PREVENTIVO
009150333170;8/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS STA BERNARDITA FR LIQ FR;MTTO CORRECTIVO
098250356270;8/10/2025;MASSER S A S;1200 GNV LA CEIBA BAQ;MTTO PREVENTIVO
005484096370;8/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q93  ISIMO BUENOS AIRES;MTTO PREVENTIVO
005484033670;8/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q33 BARRANQUILLA CARRERA 27;MTTO CORRECTIVO
276962000270;8/10/2025;D1 S.A.S;10567 - BOG MATATIGRES;MTTO PREVENTIVO
000018001670;8/10/2025;D1 S.A.S;10581 - BOG SENA SUR;MTTO PREVENTIVO
009553001370;8/10/2025;COLOMBIANA DE COMERCIO S A;FV KTRONIX 20 DE JULIO;MTTO PREVENTIVO
004627000670;8/10/2025;CIATRAN S A;FV CIATRAN RESTREPO;MTTO PROFUNDO
009553001170;8/10/2025;COLOMBIANA DE COMERCIO S A;FV KTRONIX TITAN;MTTO PREVENTIVO
009550004570;8/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR AKT BOYACA;MTTO PREVENTIVO
009150318770;8/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS PONTEVEDRA FR;MTTO CORRECTIVO
009149006870;8/10/2025;FARMATODO COLOMBIA S A;FARMATODO C.C TITAN PLAZA;MTTO PREVENTIVO
098286001670;8/10/2025;MERCADO ZAPATOCA SA;SAN FERNANDO;MTTO PREVENTIVO
009553043170;8/10/2025;COLOMBIANA DE COMERCIO S A;FV KTRONIX NQS  MALL PLAZA;MTTO PREVENTIVO
009550006570;8/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR BOGOTA CENTRO - ALCEN;MTTO PREVENTIVO
002377325370;8/10/2025;COLSUBSIDIO;CTRO EMPRESARIAL CLL 53;MTTO CORRECTIVO
006685000170;8/10/2025;MAS ACERO S.A.S;FV CENTRO;MTTO PREVENTIVO
006368000170;8/10/2025;INVERSIONES WADI SAS;FV EDS GRAN AVENIDA;MTTO PREVENTIVO
098208001170;8/10/2025;JIN MAO  SAS;FV JIN MAO PAÑALERA 1 DE MAYO;MTTO PREVENTIVO
000018117470;8/10/2025;D1 S.A.S;12027 - BOG PALO BLANCO;MTTO PREVENTIVO
006682000170;8/10/2025;EDS CRA10 SAS;EDS CRA 10 SAS;MTTO CORRECTIVO
000018177170;8/10/2025;D1 S.A.S;11378 TIENDA D1 CALI ANTONIO NARIÑO;MTTO CORRECTIVO
001763199470;8/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO CALI NORTE;MTTO PREVENTIVO
001763199570;8/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO CALI NORTE 2;MTTO PREVENTIVO
098103041670;8/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;50N33-EDS CAMBULOS;MTTO CORRECTIVO
009890000770;8/10/2025;POLLOS EL BUCANERO S.A;AGENCIA VILLA GORGONA;MTTO CORRECTIVO
009554000270;8/10/2025;COLOMBIANA DE COMERCIO S A;FV CORBETA DISTRIBUCIONES CALI;MTTO PREVENTIVO
009150303270;8/10/2025;ORGANIZACION TERPEL SA;1000 EDS EL TESORO;MTTO CORRECTIVO
004608017070;8/10/2025;DISTRACOM S A;EDS PORTAL DEL NORTE;MTTO CORRECTIVO
009150306370;8/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EST DE SERV TERPEL LA GAROTA;MTTO PROFUNDO
000018169270;8/10/2025;D1 S.A.S;10256 MED EL CHAGUALO;MTTO CORRECTIVO
005484084570;8/10/2025;PLAN B INVESTMENTS S.A.S.;FV I53 BELEN LOS ALPES;MTTO CORRECTIVO
098331164270;8/10/2025;BBI COLOMBIA SAS;FV 1642 AYACUCHO EL PALO;MTTO CORRECTIVO
098103068570;8/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;507O9-LA PLAYA;MTTO CORRECTIVO
